knum	threshold	score_type	profile_type	F-measure	nseq	nseq_used	alen	mlen	eff_nseq	re/pos	definition
K00152	1091.27	full	all	1.000000	10	8	483	483	0.42	0.592	salicylaldehyde dehydrogenase [EC:1.2.1.65]
K00153	374.10	domain	all	0.994324	1162	1060	1065	400	1.26	0.590	S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]
K00154	565.87	domain	all	0.960695	2023	1828	1326	544	1.94	0.591	coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]
K00155	1130.27	domain	all	0.974359	22	22	1171	1031	0.99	0.590	L-tyrosine reductase [EC:1.2.1.101]
K00156	700.70	full	all	0.948324	3345	2932	2483	705	2.74	0.590	pyruvate dehydrogenase (quinone) [EC:1.2.5.1]
K00157	2184.03	full	all	0.954512	840	839	7341	1563	1.41	0.590	aldehyde oxidase [EC:1.2.3.1]
K00158	609.40	full	trim	0.958917	854	664	931	579	2.07	0.590	pyruvate oxidase [EC:1.2.3.3]
K00161	419.67	full	all	0.807374	6351	5377	4462	461	4.26	0.590	pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]
K00162	489.53	full	all	0.818038	5851	4928	2629	424	2.24	0.590	pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]
K00163	354.83	full	all	1.000000	5482	4718	3102	994	2.47	0.590	pyruvate dehydrogenase E1 component [EC:1.2.4.1]
K00164	1233.20	domain	all	0.880524	7306	6339	7003	1092	2.49	0.590	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
K00166	406.13	full	all	0.789030	5418	4810	4319	583	4.29	0.590	2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4]
K00167	467.60	full	all	0.811675	5276	4503	3370	434	1.96	0.590	2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4]
K00169	292.77	full	all	0.870104	1252	1126	1481	442	2.99	0.590	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
K00170	330.47	full	trim	0.812336	1162	994	1138	347	2.82	0.590	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
K00171	102.83	domain	trim	0.813940	851	669	428	152	3.87	0.590	pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]
K00172	151.50	domain	trim	0.857000	1054	911	935	316	5.33	0.590	pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]
K00174	266.47	full	all	0.923973	3943	3569	2239	763	5.42	0.590	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]
K00175	190.00	domain	all	0.924502	4001	3511	1751	536	5.34	0.590	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]
K00176	67.77	domain	all	0.959888	1347	1125	419	130	3.64	0.590	2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]
K00177	135.73	full	all	0.895967	1413	1234	621	274	3.49	0.590	2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]
K00179	390.43	domain	all	0.984233	1492	1425	3181	742	3.83	0.590	indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]
K00180	130.80	full	all	0.977066	1432	1346	1382	382	7.71	0.590	indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]
K00181	205.23	full	all	0.999310	772	726	4010	625	2.87	0.590	O-palmitoleoyl transferase [EC:2.3.1.250]
K00182	481.20	domain	all	0.965537	1075	885	1536	441	2.22	0.590	wingless-type MMTV integration site family, member 2
K00184	267.73	full	all	0.969066	114	101	501	248	1.22	0.590	dimethyl sulfoxide reductase iron-sulfur subunit
K00185	299.80	full	all	0.988701	99	88	568	409	1.65	0.590	dimethyl sulfoxide reductase membrane subunit
K00186	473.23	full	trim	0.795396	178	156	518	382	1.71	0.590	2-oxoisovalerate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.7]
K00187	535.77	full	all	0.782638	151	140	619	478	1.42	0.590	2-oxoisovalerate ferredoxin oxidoreductase beta subunit [EC:1.2.7.7]
K00188	101.07	domain	all	0.866754	135	114	231	143	2.02	0.590	2-oxoisovalerate ferredoxin oxidoreductase delta subunit [EC:1.2.7.7]
K00189	286.87	full	trim	0.712232	70	67	279	180	1.73	0.590	2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.7 1.2.7.1]
K00192	475.73	full	all	1.000000	136	123	938	781	1.00	0.589	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4]
K00193	612.30	full	trim	0.945846	142	111	703	458	1.37	0.590	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta [EC:2.3.1.169]
K00194	317.87	full	trim	0.957681	272	215	725	337	1.50	0.590	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]
K00195	101.40	full	all	0.995434	133	111	231	175	2.49	0.590	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon
K00196	150.00	domain	trim	0.487483	640	558	607	203	2.92	0.590	anaerobic carbon-monoxide dehydrogenase iron sulfur subunit
K00197	324.93	full	all	1.000000	290	255	907	460	1.45	0.589	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245]
K00198	378.77	full	all	0.999189	663	616	1630	682	2.18	0.590	anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]
K00200	421.30	full	all	1.000000	504	479	1033	553	1.74	0.589	formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]
K00201	185.43	full	all	0.999022	562	514	1186	526	5.16	0.590	formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]
K00202	190.13	full	all	0.998907	487	459	843	421	3.88	0.590	formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]
K00203	123.27	domain	trim	0.933914	258	196	197	131	3.38	0.590	formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]
K00204	171.57	domain	all	0.988506	57	47	210	155	1.06	0.589	4Fe-4S ferredoxin
K00205	154.73	domain	all	0.970962	228	195	847	401	2.01	0.590	4Fe-4S ferredoxin
K00206	615.17	domain	all	0.996764	373	312	581	481	0.99	0.591	phosphonoacetaldehyde dehydrogenase [EC:1.2.1.-]
K00207	477.37	full	all	0.985967	962	940	3047	1086	1.82	0.591	dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2]
K00208	268.00	full	all	0.949890	6785	5361	1486	392	3.43	0.590	enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
K00209	114.83	domain	all	0.998957	1663	1436	1291	405	2.30	0.590	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]
K00211	448.23	full	all	0.985507	208	204	1433	476	0.95	0.589	prephenate dehydrogenase (NADP+) [EC:1.3.1.13]
K00212	635.60	domain	all	0.519883	97	94	681	323	0.70	0.588	20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase [EC:1.1.1.149 1.1.1.357 1.3.1.20]
K00213	409.60	full	all	0.980224	849	824	1949	533	2.68	0.590	7-dehydrocholesterol reductase [EC:1.3.1.21]
K00214	165.43	full	all	0.999134	624	580	1179	427	3.31	0.590	biliverdin reductase [EC:1.3.1.24]
K00215	127.03	full	all	0.987731	9346	7997	2206	345	8.73	0.590	4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
K00216	250.00	domain	all	0.991754	1262	978	1244	448	2.65	0.590	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
K00217	285.93	full	trim	0.966358	1011	926	921	397	4.19	0.590	maleylacetate reductase [EC:1.3.1.32]
K00218	252.60	domain	trim	0.964123	673	628	1034	385	2.58	0.590	protochlorophyllide reductase [EC:1.3.1.33]
K00219	564.77	full	all	1.000000	2919	2580	2570	887	1.50	0.591	2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]
K00220	383.20	full	all	0.973341	911	828	664	410	2.11	0.590	cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]
K00221	103.13	domain	all	0.878533	184	125	604	240	4.68	0.590	alkylmercury lyase [EC:4.99.1.2]
